qname,A_pos,A_strand,B_pos,B_strand,A_AS,A_XS,A_score_gap,A_MAPQ,A_MAPQ_clean,A_NM,A_candidate_count,A_rank,expected_B_center,target_z,target_width,bowtie_fixed_width,TLEN_for_evaluation_only,primary
r109,24958,-,24744,+,0,,,255,,0,1,1,24749.0,5.0,10.0,500,-255,True
r110,16411,+,16526,-,-4,,,255,,4,1,1,16532.0,6.0,12.0,500,244,True
r111,23910,+,23994,-,-1,,,255,,1,1,1,24057.0,63.0,126.0,500,187,True
r112,18884,-,18772,+,-7,,,255,,3,1,1,18717.0,55.0,110.0,500,-195,True
r113,19711,+,19951,-,-2,,,255,,2,1,1,19913.0,38.0,76.0,500,288,True
r114,13605,+,13755,-,-6,,,255,,4,1,1,13760.0,5.0,10.0,500,245,True
r115,16058,+,16165,-,0,,,255,,0,1,1,16134.0,31.0,62.0,500,281,True
r116,33240,-,33228,+,-3,,,255,,3,1,1,33204.0,24.0,48.0,500,-226,True
r117,39340,-,39106,+,-1,,,255,,1,1,1,39141.0,35.0,70.0,500,-285,True
r118,18942,-,18745,+,-5,,,255,,1,1,1,18752.0,7.0,14.0,500,-257,True
r119,22321,-,22182,+,-21,,,255,,15,1,1,22164.0,18.0,36.0,500,-232,True
r120,34700,+,34863,-,-12,,,255,,7,1,1,34880.0,17.0,34.0,500,233,True
r122,35288,-,35105,+,0,,,255,,0,1,1,35130.0,25.0,50.0,500,-275,True
r123,15270,-,15144,+,0,,,255,,0,1,1,15099.0,45.0,90.0,500,-205,True
r124,7911,+,8070,-,-5,,,255,,2,1,1,8107.0,37.0,74.0,500,213,True
r125,11669,-,11557,+,-9,,,255,,5,1,1,11535.0,22.0,44.0,500,-228,True
r126,862,+,1025,-,-4,,,255,,2,1,1,1017.0,8.0,16.0,500,258,True
r127,18765,+,18765,-,-1,,,255,,1,1,1,18775.0,10.0,20.0,500,240,True
r128,30276,-,30095,+,0,,,255,,0,1,1,30090.0,5.0,10.0,500,-245,True
r129,23649,+,23881,-,-4,,,255,,3,1,1,23835.0,46.0,92.0,500,296,True
r130,7985,+,8194,-,-1,,,255,,1,1,1,8151.0,43.0,86.0,500,293,True
r131,18441,+,18535,-,-2,,,255,,1,1,1,18552.0,17.0,34.0,500,233,True
r132,38600,+,38762,-,-5,,,255,,3,1,1,38793.0,31.0,62.0,500,219,True
r133,45311,+,45438,-,-25,,,255,,9,1,1,45496.0,58.0,116.0,500,192,True
r134,38745,+,38915,-,-17,,,255,,12,1,1,38919.0,4.0,8.0,500,246,True
r135,18016,-,17824,+,-7,,,255,,4,1,1,17825.0,1.0,2.0,500,-251,True
r136,16880,-,16681,+,0,,,255,,0,1,1,16684.0,3.0,6.0,500,-253,True
r137,13413,+,13474,-,-8,,,255,,5,1,1,13518.0,44.0,88.0,500,206,True
r138,36522,+,36617,-,-4,,,255,,3,1,1,36558.0,59.0,118.0,500,309,True
r139,24326,-,24146,+,-3,,,255,,2,1,1,24133.0,13.0,26.0,500,-237,True
r140,415,-,227,+,0,,,255,,0,1,1,217.0,10.0,20.0,500,-240,True
r141,32500,+,32511,-,-2,,,255,,2,1,1,32578.0,67.0,134.0,500,183,True
r142,8952,+,9019,-,0,,,255,,0,1,1,9093.0,74.0,148.0,500,176,True
r144,40603,-,40352,+,-2,,,255,,2,1,1,40427.0,75.0,150.0,500,-325,True
r145,6116,-,5990,+,0,,,255,,0,1,1,5959.0,31.0,62.0,500,-219,True
r147,6073,+,6247,-,-1,,,255,,1,1,1,6265.0,18.0,36.0,500,232,True
r148,11403,-,11319,+,-1,,,255,,1,1,1,11318.0,1.0,2.0,500,-249,True
r149,15908,-,15642,+,-2,,,255,,1,1,1,15701.0,59.0,118.0,500,-309,True
r150,44049,+,44242,-,-5,,,255,,1,1,1,44236.0,6.0,12.0,500,256,True
r151,36331,+,36586,-,-3,,,255,,2,1,1,36530.0,56.0,112.0,500,306,True
r153,13082,-,12854,+,-3,,,255,,3,1,1,12893.0,39.0,78.0,500,-289,True
r154,30888,+,30888,-,-9,,,255,,3,1,1,30867.0,21.0,42.0,500,271,True
r155,12231,+,12441,-,-5,,,255,,1,1,1,12436.0,5.0,10.0,500,255,True
r156,10279,-,10164,+,-1,,,255,,1,1,1,10180.0,16.0,32.0,500,-266,True
r157,22564,+,22660,-,-5,,,255,,4,1,1,22726.0,66.0,132.0,500,184,True
r158,21001,-,20820,+,-23,,,255,,7,1,1,20928.0,108.0,216.0,500,-358,True
r159,31434,+,31534,-,-3,,,255,,1,1,1,31545.0,11.0,22.0,500,239,True
r160,6962,-,6891,+,-1,,,255,,1,1,1,6813.0,78.0,156.0,500,-172,True
r161,17401,+,17511,-,0,,,255,,0,1,1,17533.0,22.0,44.0,500,228,True
r162,30237,-,30147,+,-2,,,255,,2,1,1,30102.0,45.0,90.0,500,-205,True
r163,673,+,923,-,-7,,,255,,6,1,1,867.0,56.0,112.0,500,306,True
r164,17043,-,16820,+,-1,,,255,,1,1,1,16854.0,34.0,68.0,500,-284,True
r165,40535,-,40384,+,-4,,,255,,2,1,1,40396.0,12.0,24.0,500,-262,True
r166,4024,+,4024,-,0,,,255,,0,1,1,4013.0,11.0,22.0,500,261,True
r167,9575,-,9398,+,0,,,255,,0,1,1,9377.0,21.0,42.0,500,-229,True
r169,32389,-,32157,+,-1,,,255,,1,1,1,32192.0,35.0,70.0,500,-285,True
r170,39480,+,39649,-,0,,,255,,0,1,1,39660.0,11.0,22.0,500,239,True
r171,36946,+,37121,-,-24,,,255,,14,1,1,37152.0,31.0,62.0,500,219,True
r172,45697,+,45898,-,-6,,,255,,3,1,1,45885.0,13.0,26.0,500,263,True
r173,4734,+,4887,-,0,,,255,,0,1,1,4937.0,50.0,100.0,500,200,True
r174,29907,+,30037,-,-26,,,255,,20,1,1,30086.0,49.0,98.0,500,201,True
r175,44545,-,44446,+,-1,,,255,,1,1,1,44363.0,83.0,166.0,500,-167,True
r176,21303,-,21104,+,-2,,,255,,1,1,1,21107.0,3.0,6.0,500,-253,True
r177,8542,+,8690,-,0,,,255,,0,1,1,8746.0,56.0,112.0,500,194,True
r178,45669,+,45752,-,-28,,,255,,8,1,1,45754.0,2.0,4.0,500,248,True
r179,42373,+,42591,-,0,,,255,,0,1,1,42566.0,25.0,50.0,500,275,True
r180,26543,-,26468,+,-3,,,255,,3,1,1,26378.0,90.0,180.0,500,-160,True
r182,34964,-,34964,+,-11,,,255,,6,1,1,34998.0,34.0,68.0,500,-281,True
r183,6359,-,6166,+,0,,,255,,0,1,1,6161.0,5.0,10.0,500,-245,True
r184,25413,-,25223,+,-6,,,255,,5,1,1,25206.0,17.0,34.0,500,-233,True
r185,7604,-,7359,+,-10,,,255,,8,1,1,7402.0,43.0,86.0,500,-293,True
r187,7579,+,7777,-,0,,,255,,0,1,1,7710.0,67.0,134.0,500,317,True
r188,37304,-,37213,+,-18,,,255,,13,1,1,37215.0,2.0,4.0,500,-252,True
r189,27765,-,27660,+,-10,,,255,,7,1,1,27617.0,43.0,86.0,500,-207,True
r191,26995,-,26978,+,-34,,,255,,10,1,1,27014.0,36.0,72.0,500,-286,True
r192,45668,+,45803,-,-3,,,255,,1,1,1,45849.0,46.0,92.0,500,204,True
r194,47186,-,46954,+,0,,,255,,0,1,1,46981.0,27.0,54.0,500,-277,True
r195,927,-,806,+,-8,,,255,,2,1,1,804.0,2.0,4.0,500,-248,True
r196,16851,-,16671,+,-1,,,255,,1,1,1,16695.0,24.0,48.0,500,-274,True
r197,38440,-,38282,+,-7,,,255,,4,1,1,38277.0,5.0,10.0,500,-245,True
r199,5311,+,5438,-,0,,,255,,0,1,1,5461.0,23.0,46.0,500,227,True
r200,783,+,1032,-,-1,,,255,,1,1,1,989.0,43.0,86.0,500,293,True
r201,8093,+,8120,-,-1,,,255,,1,1,1,8158.0,38.0,76.0,500,212,True
r202,9251,-,9038,+,-4,,,255,,3,1,1,9108.0,70.0,140.0,500,-320,True
r203,7357,-,7131,+,-1,,,255,,1,1,1,7160.0,29.0,58.0,500,-279,True
r204,18795,-,18648,+,0,,,255,,0,1,1,18703.0,55.0,110.0,500,-305,True
r206,28136,-,28017,+,-2,,,255,,2,1,1,28025.0,8.0,16.0,500,-258,True
r207,47401,-,47119,+,0,,,255,,0,1,1,47193.0,74.0,148.0,500,-324,True
r208,11715,-,11589,+,0,,,255,,0,1,1,11582.0,7.0,14.0,500,-243,True
r209,16329,-,16045,+,0,,,255,,0,1,1,16145.0,100.0,200.0,500,-350,True
r210,12644,-,12468,+,0,,,255,,0,1,1,12502.0,34.0,68.0,500,-284,True
r211,29402,-,29162,+,0,,,255,,0,1,1,29195.0,33.0,66.0,500,-283,True
r212,18440,+,18554,-,0,,,255,,0,1,1,18624.0,70.0,140.0,500,180,True
r213,42233,-,42117,+,-4,,,255,,1,1,1,42150.0,33.0,66.0,500,-283,True
r214,26544,+,26680,-,0,,,255,,0,1,1,26753.0,73.0,146.0,500,177,True
r215,13656,-,13548,+,0,,,255,,0,1,1,13508.0,40.0,80.0,500,-210,True
r216,40283,+,40408,-,-2,,,255,,1,1,1,40484.0,76.0,152.0,500,174,True
r217,45836,-,45689,+,-12,,,255,,3,1,1,45689.0,0.0,0.0,500,-250,True
r218,22512,+,22539,-,-2,,,255,,1,1,1,22537.0,2.0,4.0,500,252,True
r219,33883,-,33646,+,0,,,255,,0,1,1,33688.0,42.0,84.0,500,-292,True
r220,38274,-,38034,+,-2,,,255,,2,1,1,38073.0,39.0,78.0,500,-289,True
r221,19711,-,19535,+,-1,,,255,,1,1,1,19508.0,27.0,54.0,500,-223,True
r222,18522,-,18345,+,-1,,,255,,1,1,1,18358.0,13.0,26.0,500,-263,True
r223,44314,-,44140,+,-12,,,255,,4,1,1,44172.0,32.0,64.0,500,-282,True
r224,6277,+,6353,-,-14,,,255,,5,1,1,6374.0,21.0,42.0,500,229,True
r227,37196,+,37196,-,-4,,,255,,2,1,1,37221.0,25.0,50.0,500,225,True
r228,46376,-,46100,+,-10,,,255,,3,1,1,46202.0,102.0,204.0,500,-352,True
r229,20180,+,20380,-,0,,,255,,0,1,1,20318.0,62.0,124.0,500,312,True
r230,3644,+,3819,-,-11,,,255,,4,1,1,3771.0,48.0,96.0,500,298,True
r231,15869,-,15792,+,-2,,,255,,2,1,1,15763.0,29.0,58.0,500,-221,True
r232,36756,-,36614,+,-9,,,255,,3,1,1,36582.0,32.0,64.0,500,-218,True
r233,25549,-,25449,+,-1,,,255,,1,1,1,25424.0,25.0,50.0,500,-225,True
r234,8035,-,7903,+,-9,,,255,,3,1,1,7876.0,27.0,54.0,500,-223,True
r235,30820,-,30620,+,0,,,255,,0,1,1,30691.0,71.0,142.0,500,-321,True
r236,10624,+,10819,-,0,,,255,,0,1,1,10731.0,88.0,176.0,500,338,True
r237,4942,-,4845,+,-8,,,255,,5,1,1,4804.0,41.0,82.0,500,-209,True
r241,34752,-,34589,+,0,,,255,,0,1,1,34565.0,24.0,48.0,500,-226,True
r242,32513,-,32276,+,-1,,,255,,1,1,1,32308.0,32.0,64.0,500,-282,True
r243,3269,+,3344,-,-14,,,255,,7,1,1,3364.0,20.0,40.0,500,230,True
r244,1717,-,1485,+,-13,,,255,,8,1,1,1573.0,88.0,176.0,500,-338,True
r245,7810,+,8080,-,-9,,,255,,5,1,1,8016.0,64.0,128.0,500,314,True
r246,20156,+,20342,-,0,,,255,,0,1,1,20365.0,23.0,46.0,500,227,True
r247,40047,+,40209,-,0,,,255,,0,1,1,40218.0,9.0,18.0,500,241,True
r249,13290,+,13468,-,-2,,,255,,1,1,1,13479.0,11.0,22.0,500,239,True
r250,2916,+,3002,-,-14,,,255,,3,1,1,3069.0,67.0,134.0,500,183,True
r251,6095,+,6283,-,-14,,,255,,5,1,1,6274.0,9.0,18.0,500,259,True
r252,23598,-,23559,+,-6,,,255,,3,1,1,23601.0,42.0,84.0,500,-292,True
r253,39065,+,39221,-,-5,,,255,,3,1,1,39269.0,48.0,96.0,500,202,True
r254,9149,-,9149,+,-11,,,255,,7,1,1,9273.0,124.0,248.0,500,-216,True
r255,15332,+,15347,-,-7,,,255,,5,1,1,15336.0,11.0,22.0,500,261,True
r256,47347,+,47488,-,0,,,255,,0,1,1,47544.0,56.0,112.0,500,194,True
r257,21134,+,21321,-,-3,,,255,,2,1,1,21327.0,6.0,12.0,500,244,True
r258,20680,-,20511,+,-2,,,255,,1,1,1,20470.0,41.0,82.0,500,-209,True
r259,8346,+,8437,-,0,,,255,,0,1,1,8465.0,28.0,56.0,500,222,True
r260,14530,+,14597,-,-22,,,255,,7,1,1,14729.0,132.0,264.0,500,118,True
r261,2034,+,2034,-,-5,,,255,,2,1,1,2059.0,25.0,50.0,500,225,True
r262,27183,-,27055,+,-12,,,255,,3,1,1,27042.0,13.0,26.0,500,-237,True
r263,38315,+,38341,-,-15,,,255,,5,1,1,38337.0,4.0,8.0,500,254,True
r264,42330,+,42520,-,0,,,255,,0,1,1,42504.0,16.0,32.0,500,266,True
r266,12115,-,11972,+,-14,,,255,,10,1,1,11926.0,46.0,92.0,500,-204,True
r267,45123,+,45303,-,0,,,255,,0,1,1,45263.0,40.0,80.0,500,290,True
r268,9230,-,9115,+,-5,,,255,,2,1,1,9101.0,14.0,28.0,500,-236,True
r270,34583,-,34342,+,-2,,,255,,2,1,1,34430.0,88.0,176.0,500,-338,True
r271,42565,+,42772,-,-3,,,255,,2,1,1,42756.0,16.0,32.0,500,266,True
r272,44335,+,44532,-,-12,,,255,,4,1,1,44525.0,7.0,14.0,500,257,True
r273,34024,+,34216,-,-1,,,255,,1,1,1,34226.0,10.0,20.0,500,240,True
r274,2489,-,2343,+,-1,,,255,,1,1,1,2317.0,26.0,52.0,500,-224,True
r275,44747,+,44905,-,-2,,,255,,1,1,1,44911.0,6.0,12.0,500,244,True
r276,31226,-,31111,+,-1,,,255,,1,1,1,31132.0,21.0,42.0,500,-271,True
r277,42424,+,42589,-,-9,,,255,,4,1,1,42616.0,27.0,54.0,500,223,True
r278,4503,-,4362,+,0,,,255,,0,1,1,4361.0,1.0,2.0,500,-249,True
r279,9706,+,9706,-,-3,,,255,,3,1,1,9795.0,89.0,178.0,500,161,True
r280,7153,-,7153,+,-72,,,255,,24,1,1,7323.0,170.0,340.0,500,-294,True
r281,27295,+,27472,-,-5,,,255,,1,1,1,27442.0,30.0,60.0,500,280,True
r282,26297,-,26120,+,-7,,,255,,3,1,1,26176.0,56.0,112.0,500,-306,True
r283,38600,+,38607,-,-19,,,255,,13,1,1,38639.0,32.0,64.0,500,218,True
r284,20953,-,20869,+,-15,,,255,,4,1,1,20819.0,50.0,100.0,500,-200,True
r285,6381,-,6312,+,-4,,,255,,4,1,1,6392.0,80.0,160.0,500,-330,True
r286,14116,-,13812,+,0,,,255,,0,1,1,13921.0,109.0,218.0,500,-359,True
r287,34762,-,34570,+,0,,,255,,0,1,1,34581.0,11.0,22.0,500,-261,True
r288,15612,+,15633,-,-5,,,255,,3,1,1,15630.0,3.0,6.0,500,253,True
r289,13004,-,12877,+,-8,,,255,,1,1,1,12888.0,11.0,22.0,500,-261,True
r291,35597,-,35395,+,-5,,,255,,1,1,1,35399.0,4.0,8.0,500,-254,True
r292,17288,-,17082,+,-1,,,255,,1,1,1,17093.0,11.0,22.0,500,-261,True
r293,29952,+,30024,-,-3,,,255,,2,1,1,30054.0,30.0,60.0,500,220,True
r294,16239,+,16423,-,-6,,,255,,2,1,1,16439.0,16.0,32.0,500,234,True
r295,18135,-,18001,+,-5,,,255,,1,1,1,17994.0,7.0,14.0,500,-243,True
r296,22663,+,22846,-,-4,,,255,,2,1,1,22867.0,21.0,42.0,500,229,True
r297,23499,-,23370,+,-4,,,255,,2,1,1,23349.0,21.0,42.0,500,-229,True
r298,4121,-,3982,+,0,,,255,,0,1,1,3931.0,51.0,102.0,500,-199,True
r299,43309,+,43522,-,-2,,,255,,2,1,1,43483.0,39.0,78.0,500,289,True
r302,43454,-,43253,+,0,,,255,,0,1,1,43280.0,27.0,54.0,500,-277,True
r303,47028,+,47268,-,-12,,,255,,9,1,1,47232.0,36.0,72.0,500,286,True
r304,31012,-,30836,+,-1,,,255,,1,1,1,30802.0,34.0,68.0,500,-216,True
r305,30397,-,30268,+,-5,,,255,,1,1,1,30191.0,77.0,154.0,500,-173,True
r306,27375,-,27184,+,-4,,,255,,3,1,1,27185.0,1.0,2.0,500,-251,True
r308,9262,-,9047,+,-4,,,255,,1,1,1,9093.0,46.0,92.0,500,-296,True
r309,15377,+,15558,-,-1,,,255,,1,1,1,15518.0,40.0,80.0,500,290,True
r310,4978,+,5015,-,0,,,255,,0,1,1,5038.0,23.0,46.0,500,227,True
r311,18701,-,18689,+,-8,,,255,,3,1,1,18619.0,70.0,140.0,500,-180,True
r312,33242,+,33366,-,-6,,,255,,2,1,1,33407.0,41.0,82.0,500,209,True
r313,47930,+,48154,-,0,,,255,,0,1,1,48136.0,18.0,36.0,500,268,True
r314,12308,+,12531,-,-5,,,255,,4,1,1,12486.0,45.0,90.0,500,295,True
r316,18586,-,18586,+,-2,,,255,,2,1,1,18740.0,154.0,308.0,500,-202,True
r317,18639,+,18821,-,-2,,,255,,2,1,1,18815.0,6.0,12.0,500,256,True
r318,35471,+,35675,-,-1,,,255,,1,1,1,35667.0,8.0,16.0,500,258,True
r319,19630,-,19447,+,-2,,,255,,2,1,1,19463.0,16.0,32.0,500,-266,True
r320,22243,-,22041,+,-5,,,255,,1,1,1,22052.0,11.0,22.0,500,-261,True
r321,21792,-,21737,+,-5,,,255,,2,1,1,21677.0,60.0,120.0,500,-190,True
r322,29475,-,29381,+,-11,,,255,,7,1,1,29318.0,63.0,126.0,500,-187,True
r324,12660,-,12353,+,-4,,,255,,2,1,1,12494.0,141.0,282.0,500,-391,True
r325,21144,-,20864,+,-4,,,255,,2,1,1,20949.0,85.0,170.0,500,-335,True
r326,12862,+,12862,-,-5,,,255,,1,1,1,12874.0,12.0,24.0,500,238,True
r327,46947,-,46794,+,-5,,,255,,1,1,1,46769.0,25.0,50.0,500,-225,True
